Code,Name,Target_Asli,Prediksi_Model
DEAL,Dewata Freightinternational Tb,50.0,476.51685
DEFI,Danasupra Erapacific Tbk.,1455.0,655.8958
DEPO,Caturkarda Depo Bangunan Tbk.,482.0,596.1754
DEWA,Darma Henwa Tbk,54.0,439.04166
DEWI,Dewi Shri Farmindo Tbk.,220.0,609.0817
DFAM,Dafam Property Indonesia Tbk.,90.0,485.04752
DGIK,Nusa Konstruksi Enjiniring Tbk,124.0,445.15106
DGNS,Diagnos Laboratorium Utama Tbk,252.0,561.28827
DIGI,Arkadia Digital Media Tbk.,50.0,497.68683
DILD,Intiland Development Tbk.,160.0,1329.161
DIVA,Distribusi Voucher Nusantara T,900.0,494.00845
DKFT,Central Omega Resources Tbk.,102.0,906.3896
DLTA,Delta Djakarta Tbk.,3760.0,1924.7888
DMAS,Puradelta Lestari Tbk.,159.0,348.22528
DMMX,Digital Mediatama Maxima Tbk.,1080.0,526.5973
DMND,Diamond Food Indonesia Tbk.,825.0,553.89453
DNAR,Bank Oke Indonesia Tbk.,168.0,377.0921
DNET,Indoritel Makmur Internasional,4120.0,783.575
DOID,Delta Dunia Makmur Tbk.,278.0,662.7698
DPNS,Duta Pertiwi Nusantara Tbk.,420.0,1447.5388
DPUM,Dua Putra Utama Makmur Tbk.,50.0,487.70786
DRMA,Dharma Polimetal Tbk.,575.0,597.73004
DSFI,Dharma Samudera Fishing Indust,90.0,785.06793
DSNG,Dharma Satya Nusantara Tbk.,640.0,381.24124
DSSA,Dian Swastatika Sentosa Tbk,38000.0,474.4817
DUCK,Jaya Bersama Indo Tbk.,176.0,545.6043
DUTI,Duta Pertiwi Tbk,3990.0,1099.318
DVLA,Darya-Varia Laboratoria Tbk.,2340.0,1114.55
DWGL,Dwi Guna Laksana Tbk.,169.0,463.7128
DYAN,Dyandra Media International Tb,90.0,324.84308
EAST,Eastparc Hotel Tbk.,98.0,523.0979
ECII,Electronic City Indonesia Tbk.,530.0,335.37405
EDGE,Indointernet Tbk.,19500.0,565.35187
EKAD,Ekadharma International Tbk.,282.0,1446.1434
ELPI,Pelayaran Nasional Ekalya Purn,212.0,583.786
ELSA,Elnusa Tbk.,292.0,448.83667
ELTY,Bakrieland Development Tbk.,50.0,1008.14764
EMDE,Megapolitan Developments Tbk.,125.0,304.3796
EMTK,Elang Mahkota Teknologi Tbk.,980.0,407.44287
ENAK,Champ Resto Indonesia Tbk.,1930.0,597.9267
ENRG,Energi Mega Persada Tbk.,270.0,496.8505
ENVY,Envy Technologies Indonesia Tb,50.0,546.24286
ENZO,Morenzo Abadi Perkasa Tbk.,73.0,563.77216
EPAC,Megalestari Epack Sentosaraya ,50.0,542.6496
EPMT,Enseval Putera Megatrading Tbk,2720.0,1171.1044
ERAA,Erajaya Swasembada Tbk.,390.0,380.8692
ERTX,Eratex Djaja Tbk.,525.0,1416.386
ESIP,Sinergi Inti Plastindo Tbk.,56.0,524.09424
ESSA,Surya Esa Perkasa Tbk.,795.0,386.79535
ESTA,Esta Multi Usaha Tbk.,136.0,545.1588
ESTI,Ever Shine Tex Tbk.,50.0,1286.7069
ETWA,Eterindo Wahanatama Tbk,212.0,957.0516
EURO,Estee Gold Feet Tbk.,282.0,535.15753
EXCL,XL Axiata Tbk.,2260.0,544.23315
FAPA,FAP Agri Tbk.,4280.0,583.3162
FAST,Fast Food Indonesia Tbk.,820.0,1226.0475
FASW,Fajar Surya Wisesa Tbk.,6150.0,1161.9977
FILM,MD Pictures Tbk.,1540.0,507.6896
FIMP,Fimperkasa Utama Tbk.,74.0,485.09308
FIRE,Alfa Energi Investama Tbk.,160.0,448.2719
FISH,FKS Multi Agro Tbk.,6650.0,651.24225
FITT,Hotel Fitra International Tbk.,426.0,521.4373
FLMC,Falmaco Nonwoven Industri Tbk.,79.0,514.92596
FMII,Fortune Mate Indonesia Tbk,515.0,690.46564
FOOD,Sentra Food Indonesia Tbk.,108.0,512.40405
FORU,Fortune Indonesia Tbk,222.0,623.20905
FORZ,Forza Land Indonesia Tbk.,50.0,473.2387
FPNI,Lotte Chemical Titan Tbk.,200.0,616.29376
FREN,Smartfren Telecom Tbk.,66.0,177.22858
FUJI,Fuji Finance Indonesia Tbk.,400.0,534.4681
GAMA,Aksara Global Development Tbk.,50.0,289.60605
GDST,Gunawan Dianjaya Steel Tbk.,123.0,389.59912
GDYR,Goodyear Indonesia Tbk.,1315.0,2121.3054
GEMA,Gema Grahasarana Tbk.,308.0,591.794
GEMS,Golden Energy Mines Tbk.,6850.0,449.22498
GGRM,Gudang Garam Tbk.,17775.0,1512.0056
GGRP,Gunung Raja Paksi Tbk.,510.0,521.092
GHON,Gihon Telekomunikasi Indonesia,1900.0,474.8965
GIAA,Garuda Indonesia (Persero) Tbk,163.0,317.461
GJTL,Gajah Tunggal Tbk.,555.0,1459.7994
GLOB,Globe Kita Terang Tbk.,111.0,342.7754
GLVA,Galva Technologies Tbk.,660.0,528.0842
GMFI,Garuda Maintenance Facility Ae,61.0,452.6162
GMTD,Gowa Makassar Tourism Developm,14500.0,658.0164
GOLD,Visi Telekomunikasi Infrastruk,494.0,363.4744
GOLL,Golden Plantation Tbk.,50.0,530.4734
GOOD,Garudafood Putra Putri Jaya Tb,490.0,513.6877
GOTO,GoTo Gojek Tokopedia Tbk.,95.0,310.16513
GPRA,Perdana Gapuraprima Tbk.,99.0,405.82275
GPSO,Geoprima Solusi Tbk.,138.0,576.78534
GSMF,Equity Development Investment ,75.0,1482.1041
GTBO,Garda Tujuh Buana Tbk,230.0,394.87677
GTSI,GTS Internasional Tbk.,54.0,578.02875
GULA,Aman Agrindo Tbk.,314.0,610.1662
GWSA,Greenwood Sejahtera Tbk.,151.0,306.4969
GZCO,Gozco Plantations Tbk.,80.0,489.39905
HADE,Himalaya Energi Perkasa Tbk.,50.0,505.38623
HAIS,Hasnur Internasional Shipping ,208.0,563.4615
HATM,Habco Trans Maritima Tbk.,320.0,578.97546
HDFA,Radana Bhaskara Finance Tbk.,150.0,421.24158
HDIT,Hensel Davest Indonesia Tbk.,53.0,517.4476
HEAL,Medikaloka Hermina Tbk.,1685.0,499.99725
HELI,Jaya Trishindo Tbk.,278.0,456.67126
HERO,Hero Supermarket Tbk.,1520.0,1540.1005
HEXA,Hexindo Adiperkasa Tbk.,5200.0,1104.2396
HITS,Humpuss Intermoda Transportasi,406.0,909.14355
HKMU,HK Metals Utama Tbk.,50.0,492.92227
HMSP,H.M. Sampoerna Tbk.,840.0,1510.7535
HOKI,Buyung Poetra Sembada Tbk.,101.0,465.75226
HOME,Hotel Mandarine Regency Tbk.,50.0,450.3816
HOMI,Grand House Mulia Tbk.,326.0,518.7844
HOPE,Harapan Duta Pertiwi Tbk.,50.0,568.78656
HOTL,Saraswati Griya Lestari Tbk.,50.0,352.38824
HRME,Menteng Heritage Realty Tbk.,51.0,514.82855
HRTA,Hartadinata Abadi Tbk.,202.0,462.23184
HRUM,Harum Energy Tbk.,1520.0,396.58344
IATA,MNC Energy Investments Tbk.,130.0,397.12558
IBFN,Intan Baru Prana Tbk.,97.0,396.8299
IBOS,Indo Boga Sukses Tbk.,82.0,527.5715
IBST,Inti Bangun Sejahtera Tbk.,5950.0,357.49213
ICBP,Indofood CBP Sukses Makmur Tbk,10175.0,695.0606
ICON,Island Concepts Indonesia Tbk.,63.0,470.67682
IDEA,Idea Indonesia Akademi Tbk.,56.0,509.99792
IDPR,Indonesia Pondasi Raya Tbk.,183.0,399.3235
IFII,Indonesia Fibreboard Industry ,158.0,529.8545
IFSH,Ifishdeco Tbk.,1205.0,527.60077
IGAR,Champion Pacific Indonesia Tbk,468.0,1430.2721
IIKP,Inti Agri Resources Tbk,50.0,383.85638
IKAI,Intikeramik Alamasri Industri ,50.0,950.38007
IKAN,Era Mandiri Cemerlang Tbk.,57.0,547.4498
